Capacitance 1 (pF),Capacitance 2 (pF),Capacitance 3 (pF),Capacitance 4 (pF),Capacitance 5 (pF),Capacitance 6 (pF),Capacitance 7 (pF),Capacitance 8 (pF),Capacitance 9 (pF),Capacitance 10 (pF),Capacitance 11 (pF),Capacitance 12 (pF),Capacitance 13 (pF),Capacitance 14 (pF),Capacitance 15 (pF),Capacitance 16 (pF),Timecode(device), Timer(device), Timecode(master),hand_x, hand_y, hand_z,index_00_x, index_00_y, index_00_z,index_01_x, index_01_y, index_01_z,index_02_x, index_02_y, index_02_z,index_03_x, index_03_y, index_03_z,middle_00_x, middle_00_y, middle_00_z,middle_01_x, middle_01_y, middle_01_z,middle_02_x, middle_02_y, middle_02_z,middle_03_x, middle_03_y, middle_03_z,pinky_00_x, pinky_00_y, pinky_00_z,pinky_01_x, pinky_01_y, pinky_01_z,pinky_02_x, pinky_02_y, pinky_02_z,pinky_03_x, pinky_03_y, pinky_03_z,ring_00_x, ring_00_y, ring_00_z,ring_01_x, ring_01_y, ring_01_z,ring_02_x, ring_02_y, ring_02_z,ring_03_x, ring_03_y, ring_03_z,thumb_01_x, thumb_01_y, thumb_01_z,thumb_02_x, thumb_02_y, thumb_02_z,thumb_03_x, thumb_03_y, thumb_03_z
262.6,340.5,219.5,131,185.6,148.4,158.2,153.8,145.5,164.2,144,128,120.7,104,130.5,73.1,131058042,5232583,13:10:58:041,0,0,0,1.6439781557910799e-15,3.9999999999999973,2.6504915164031133,-5.676405807431186,-5.3220468882997025,1.081258649871958,2.7291666211016734e-16,-1.5006429420445098e-17,6.2945231968643816,2.2335952480635085e-16,-1.105124500588962e-17,5.66507087717794,-7.9999999999999964,-2.9999999999999996,6.586943700206418,7.8420501412950845,3.410777529648371,-2.6312128244651594,0,0,1.2659310629079201,6.617672003406019e-20,-3.1068219505013686e-18,1.1393379566171287,-26.99999999999999,-14.99999999999999,10.648717077248923,37.54828263861172,15.364158497912273,1.9473378800882508,1.4646748237996508e-15,-7.631163376734965e-18,2.5411357566175705,-9.907500774450666e-16,1.688942474388592e-16,2.287022180955815,-14.99999999999999,-8.99999999999999,6.611129790525006,20.294066889395573,8.825503433428347,-0.4828864893392015,-1.5528821523103836e-17,1.9550462586063735e-19,1.4426076246327955,2.7641718506577037e-16,-3.1319998250492156e-18,1.2983468621695156,90,29.462772542388674,0,1.1976989420874836e-14,-4.7981458681528076e-17,35.22384477400472,-2.481403001415151e-16,1.3004482081044129e-17,6.0000000000000036
263.3,340.7,219.6,131.2,185.6,148.5,158,154.1,145.6,164.4,144.1,127.7,120.6,104.1,130.4,73.4,131058043,5232600,13:10:58:041,0,0,0,3.4374088711995302e-15,3.999999999999994,2.6513421158764694,-5.676773631070778,-5.323005679791673,1.073273103316733,8.435203005519745e-16,-4.711055944443054e-17,6.393290038024525,-3.9706824002159613e-16,1.9954674739433433e-17,5.753961034222074,-7.9999999999999964,-2.9999999999999987,6.585762657457056,7.842710404263163,3.409235395090492,-2.62007968052195,-9.705680710563928e-20,1.080916373557295e-21,1.2761471913935176,3.113051381927401e-20,3.1058544217839956e-18,1.1485324722541657,-26.999999999999986,-14.999999999999986,10.646801304304583,37.54820584296364,15.353633937999955,1.9621840190429138,5.527376103454505e-16,-1.209184022201761e-17,2.5064367255337756,-1.3236492653940595e-15,2.2488326481382254e-16,2.2557930529804024,-14.99999999999999,-8.99999999999999,6.609414963621844,20.294762591074388,8.820017275338975,-0.46745371439099337,2.267212753338449e-16,-2.815894996941034e-18,1.4231624575647146,-1.0559775781676755e-16,1.1803672298277998e-18,1.2808462118082424,90.00000000000001,29.37983635528519,5.474989489922454e-15,1.758080427836064e-15,-4.313128458948149e-15,35.25840151863117,4.050381975953859e-16,-8.174570281987275e-16,5.999999999999997
261.9,341.1,219.5,130.7,185,148.2,158.1,153.6,145.6,164,144.1,127.8,120.4,104,130.6,73.3,131058044,5232616,13:10:58:043,0,0,0,-4.9817519872456967e-17,4,2.6497139880240006,-5.67605911725226,-5.320903044673622,1.088531204731619,-1.9847650118135644e-16,1.1064472344315304e-17,6.381532054200822,0,0,5.743378848780738,-7.9999999999999964,-2.9999999999999996,6.5850713592936625,7.8430983793685005,3.40837095497264,-2.613557859938531,-9.705680611604865e-20,1.0810052264588558e-21,1.2762520968903022,1.281910226921708e-19,3.1048814876082995e-18,1.148626887201272,-26.99999999999999,-14.999999999999986,10.64733607787115,37.54804219440298,15.355828087436514,1.9574449565546248,2.1985238261597784e-15,-4.8348455193771756e-17,2.5196142593043898,-1.480759363024855e-16,5.263655698798331e-17,2.267652833373952,-14.999999999999986,-8.99999999999999,6.609372970147353,20.294745177629892,8.819509519645035,-0.46721608604156556,4.3170180795375596e-16,-5.3895947522489185e-18,1.430547590004057,6.460093925978943e-16,-7.258540409547514e-18,1.2874928310036513,89.99999999999999,29.39037495636677,0,-1.7130000955413089e-15,-1.124338018593453e-15,35.25401043484718,-2.8975464280085634e-16,-7.810444783718044e-16,6.000000000000001
261.9,340.5,219,131,185.3,148.8,158,153.7,145.5,164.1,143.8,127.7,120.4,104,130.5,73,131058045,5232633,13:10:58:043,0,0,0,2.7524179729532474e-15,3.9999999999999956,2.649576830818204,-5.675996225204173,-5.320656820434278,1.0898096092967382,-1.3793859149855836e-17,1.9985620022979077e-16,6.353569693555128,2.630732798852661e-16,-2.1217090012809382e-16,5.718212724199618,-7.999999999999999,-3,6.585334606870331,7.842951454468384,3.4087188921946687,-2.616038788367256,0,0,1.272725323826492,-9.705797679074305e-20,9.702200964127797e-22,1.1454527914438415,-26.999999999999986,-14.999999999999996,10.647557526750752,37.54801871473545,15.356914592711504,1.95562482571486,3.2486594570447333e-16,-1.3143313245866904e-16,2.5260624148617126,-1.4036404249575285e-15,2.785138599234382e-17,2.273456173375544,-14.99999999999999,-8.999999999999991,6.609659558186427,20.294624076634115,8.820372691366721,-0.46981542254621483,-5.826403252836573e-16,1.0669248700121217e-16,1.4341613659005084,2.340555240352859e-16,9.676215518392675e-17,1.2907452293104587,89.99999999999999,29.415376480292394,0,-1.9536121813677253e-15,-1.882320981593445e-15,35.24359313321149,-1.0726983742556786e-16,8.01851649701475e-16,6.0000000000000036
262.8,340.8,219,131.1,185.2,148.5,157.9,153.7,145.1,164.2,143.8,127.6,120.4,103.8,130.1,73,131058046,5232650,13:10:58:045,0,0,0,2.042518314770736e-15,3.9999999999999973,2.6498830263143343,-5.676153470284681,-5.321642184208645,1.086999605224503,1.874699595187955e-16,-2.094891462986171e-16,6.349847615391676,-4.963437817052079e-17,2.4773994361878194e-18,5.714862853852504,-7.999999999999999,-2.9999999999999996,6.585192805242225,7.843029162616744,3.408498017168512,-2.6147070276556477,-9.705687002998359e-20,1.0752514732690377e-21,1.2694588450064537,0,0,1.1425129605058086,-26.999999999999986,-14.99999999999999,10.646469618089045,37.548169074798714,15.35171876972024,1.9646799155039603,-5.993962448102236e-16,-6.143107658737901e-17,2.5099722119523586,8.697538845685017e-16,2.313812043407151e-16,2.2589749907571246,-14.999999999999993,-8.99999999999999,6.609055101378088,20.294904100798416,8.81881940134633,-0.46423262614216626,4.441251425042713e-16,-5.523750362937872e-18,1.4251445601054742,6.056340937824045e-16,-6.779181377061246e-18,1.2826301040949277,89.99999999999999,29.420936332762544,-3.651468622443766e-15,9.472901352793581e-17,-3.008737298912851e-17,35.24127652801562,9.124240268764421e-17,7.914480640366396e-16,6.000000000000001
262.6,340.3,219.4,130.8,185.1,148,158.1,153.4,145.8,164,143.9,127.8,120.5,104,130.5,73.1,131058047,5232666,13:10:58:045,0,0,0,2.104790214611307e-15,4,2.6498252597078875,-5.67610724625788,-5.321028096558157,1.0874865344944116,-8.544476110867821e-17,-1.9434860979255453e-16,6.352993434620855,-5.707946448761472e-16,2.8504196265990017e-17,5.717694091158772,-7.999999999999999,-2.9999999999999996,6.585259967573391,7.842992864900312,3.408614439435812,-2.615336165549551,3.444473416663029e-20,3.1058194343029726e-18,1.2708124403660932,0,0,1.1437311963294825,-26.999999999999986,-14.99999999999999,10.646846633325193,37.54801466810772,15.353108591252067,1.9612132741337955,-1.1291409192678094e-15,1.4906126789680524e-16,2.515516510888043,-8.745285033389179e-18,-4.953306596622361e-17,2.2639648597992377,-14.99999999999999,-8.999999999999988,6.609271958067413,20.294786821591504,8.81919410806081,-0.4663041122487257,5.062403761359595e-16,-6.310029893191921e-18,1.4282517830759192,6.7595276706352855e-16,-1.0698138085880028e-16,1.2854266047683263,90,29.418086381658917,0,-1.5925333782148384e-15,-7.455958105476372e-16,35.24246400764214,-1.9851224011321208e-16,1.04035856648353e-17,6
262,340.6,219.4,130.8,185.1,148.4,158.2,153.6,145.7,163.9,144,127.9,120.5,104.1,130.8,73.2,131058048,5232683,13:10:58:046,0,0,0,3.2381387917097027e-16,3.999999999999998,2.649584245930149,-5.675990256910133,-5.320428037834481,1.089716068406305,-3.3353153367363973e-16,-1.806025070372926e-16,6.345194559728355,8.338836252755285e-16,-2.4062282896943555e-16,5.710675103755521,-7.9999999999999964,-2.9999999999999996,6.585318430371084,7.842961027136213,3.4087101762086838,-2.615884585873214,9.705686093598381e-20,-1.0760720240760469e-21,1.2704276399058863,9.705799428349937e-20,-9.684685911782532e-22,1.1433848759152967,-26.99999999999999,-14.99999999999999,10.647204435117928,37.54791711376083,15.354624438810406,1.9580807486010532,4.661606851946456e-16,-1.3452881607997376e-16,2.5212919430312346,2.535055759343085e-16,9.439120469940982e-17,2.2691627487281143,-14.999999999999993,-8.999999999999986,6.609495300671807,20.294676796393965,8.819696899794163,-0.4683936440859807,-9.09990048641428e-16,1.1368271581254395e-17,1.431488401007219,2.4846513036388015e-16,-2.793582248201474e-18,1.2883395609064967,90,29.425020642402146,3.651615430904083e-15,-9.294083560828697e-16,-9.562377271205308e-16,35.23957473233242,-9.925612005660601e-17,5.2017928324176494e-18,5.999999999999997
262.4,339.9,219.2,131.2,185.3,148.5,158.3,154.1,145.6,164.1,144,127.9,120.5,104,130.8,73.4,131058049,5232700,13:10:58:047,0,0,0,3.3875913513270735e-15,3.9999999999999982,2.6504910338153165,-5.67637351788467,-5.321215758815657,1.0811793730136914,-3.611611483009369e-16,2.1908697022316025e-16,6.338561304646804,-1.8361309037308043e-16,-1.8988289132060228e-16,5.704705174182126,-7.9999999999999964,-2.9999999999999987,6.585911616221692,7.842629366871447,3.4094817052698723,-2.6214766862387227,3.438399271839868e-20,3.1058201073549943e-18,1.2685713388973212,1.2800372193572444e-19,3.104889215022365e-18,1.1417142050075904,-26.999999999999986,-14.999999999999982,10.64713501409749,37.54790074581706,15.354188696223668,1.9585752204001898,1.0528662694256077e-16,1.9651979982845002e-16,2.5168192872153843,9.560524559471371e-16,-1.1831255591379813e-16,2.265137358493847,-14.999999999999986,-8.999999999999988,6.609757655084794,20.294570098483735,8.820532357645275,-0.47075617457838825,-5.49721100947847e-16,6.855499958283785e-18,1.428982269919121,1.0249188893712829e-16,-1.150335318734326e-18,1.286084042927211,89.99999999999999,29.431922230743535,0,-6.554251608743151e-16,1.876686512297137e-15,35.236699070523514,-3.3136898546019747e-16,-1.5750934388246526e-15,6.000000000000003
261.8,340.1,218.9,131.1,185.3,148.4,157.9,153.6,145.6,163.6,143.7,127.6,120.3,103.9,130.3,72.8,131058050,5232716,13:10:58:049,0,0,0,4.2967610889994126e-15,3.9999999999999942,2.6535324171855468,-5.677638881924669,-5.323356735716142,1.0524964840430064,-1.131537759981114e-16,2.0529795012115856e-16,6.286421702244919,-4.963560611861238e-16,2.452673965015331e-17,5.657779532020426,-7.9999999999999964,-2.9999999999999987,6.589140463759336,7.840823687078546,3.41370306113538,-2.6519128545921187,0,0,1.2625361433518631,9.70580541224389e-20,-9.624529669624468e-22,1.1362825290166767,-26.999999999999993,-14.99999999999999,10.648895923705009,37.547826266267286,15.36328147521173,1.944464244210083,2.4577053314075893e-16,-5.5135350855039346e-17,2.529983042323048,-4.766784811614177e-16,9.473058121304526e-18,2.276984738090743,-14.99999999999999,-8.999999999999993,6.612330682021185,20.29350681084561,8.82856286865196,-0.4939881619214808,6.52210950668843e-17,-8.175636276276612e-19,1.4363601840201203,-8.696275815200937e-17,9.810812344117852e-19,1.292724165618108,89.99999999999999,29.471850715687836,0,-5.098735185348428e-16,2.664537826346658e-15,35.22006220179672,-2.481403001415151e-16,1.3004482081044121e-17,6
262.5,341.1,219.5,131.2,185.3,148.4,158.3,153.9,145.8,164.2,144.1,128,120.6,104.1,130.5,73.2,131058051,5232733,13:10:58:049,0,0,0,2.4535128537185055e-15,3.9999999999999973,2.652440350490356,-5.67716584392476,-5.322098913382323,1.062746288763911,-7.195077572157939e-16,3.9558886093132173e-17,6.293962788378175,-5.708077988053113e-16,2.8239558195767877e-17,5.664566509540359,-7.9999999999999964,-2.9999999999999987,6.588503934119166,7.841180698821745,3.4128912067743173,-2.645909898757928,9.70569127533191e-20,-1.0713881381193558e-21,1.2648975450159385,-3.085609743379868e-20,-3.1058571601825162e-18,1.1384077905143444,-26.99999999999999,-14.999999999999993,10.649271989177512,37.547766564601474,15.365048803509426,1.9413109277490428,-1.094050169661978e-15,4.9082311689111285e-17,2.537256732064761,-1.0476425680069139e-15,1.202918039912532e-16,2.283531058858286,-14.99999999999999,-8.999999999999988,6.612195065803773,20.29354660299935,8.827962096075472,-0.4928303512397519,-1.8509655746017137e-16,1.0172700382542144e-16,1.4404349560898422,-3.69591588516443e-16,4.181423356370463e-18,1.2963914604808575,90,29.464823982232026,1.826523866267277e-15,-9.037147416557808e-16,-5.473647190640077e-16,35.222990007403325,-9.925612005660604e-17,5.201792832417652e-18,6.000000000000003
