Capacitance 1 (pF),Capacitance 2 (pF),Capacitance 3 (pF),Capacitance 4 (pF),Capacitance 5 (pF),Capacitance 6 (pF),Capacitance 7 (pF),Capacitance 8 (pF),Capacitance 9 (pF),Capacitance 10 (pF),Capacitance 11 (pF),Capacitance 12 (pF),Capacitance 13 (pF),Capacitance 14 (pF),Capacitance 15 (pF),Capacitance 16 (pF),Timecode(device), Timer(device), Timecode(master),hand_x, hand_y, hand_z,index_00_x, index_00_y, index_00_z,index_01_x, index_01_y, index_01_z,index_02_x, index_02_y, index_02_z,index_03_x, index_03_y, index_03_z,middle_00_x, middle_00_y, middle_00_z,middle_01_x, middle_01_y, middle_01_z,middle_02_x, middle_02_y, middle_02_z,middle_03_x, middle_03_y, middle_03_z,pinky_00_x, pinky_00_y, pinky_00_z,pinky_01_x, pinky_01_y, pinky_01_z,pinky_02_x, pinky_02_y, pinky_02_z,pinky_03_x, pinky_03_y, pinky_03_z,ring_00_x, ring_00_y, ring_00_z,ring_01_x, ring_01_y, ring_01_z,ring_02_x, ring_02_y, ring_02_z,ring_03_x, ring_03_y, ring_03_z,thumb_01_x, thumb_01_y, thumb_01_z,thumb_02_x, thumb_02_y, thumb_02_z,thumb_03_x, thumb_03_y, thumb_03_z
254.6,326.4,220,128.2,179.6,142.1,158.7,153.9,140.1,161.6,143.1,125.5,119.7,103.8,127.1,84.3,122723047,3171500,12:27:23:047,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.7888333635063685,1.384089658222287,-2.9223502900512743,-5.092732652320281e-16,4.895674795260606e-16,19.241489748232564,-6.194837840549629e-16,-1.0673931790795278e-16,17.31734077340931,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596333307920786,4.306942364497601,-6.478378629401349,1.1115233948920073e-18,-5.0070577421037674e-17,11.706617212048764,-1.0606001884549007e-17,-4.736946214584582e-17,10.535955490843886,-26.999999999999993,-14.99999999999999,10.999999999999996,35.963867145423094,8.09151632916928,-7.813393004769423,-1.0572014476132556e-15,-1.072443654650574e-15,13.927396802906458,-8.097980910360068e-16,-1.9108635627183364e-15,12.534657122615819,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884726391014365,5.896648823155165,-5.5213292858158995,1.4198927155603347e-17,1.9837420129712896e-16,11.767917696693097,5.682266741350227e-16,7.458785774821117e-16,10.591125927023791,90,26.92551640816536,0,-1.876121149221286e-15,-1.8955029321912982e-15,36.281034829931116,-4.940022057913788e-16,5.4154603750021095e-17,12.512048211247965
254.7,326.6,220.2,128.2,179.7,142.4,158.9,154,140.4,161.8,143.2,125.5,120.1,104,127.2,84.3,122723048,3171516,12:27:23:047,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788835708211976,1.3850465488535517,-2.922447327395234,3.031709001797787e-16,-5.138677268906976e-17,19.240144276874247,-3.1621740865595576e-16,-7.561530266047879e-16,17.31612984918683,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596333811891713,4.306992541060978,-6.478371918735536,0,0,11.705264126479875,-1.4809357111733386e-18,5.1603039396180297e-17,10.534737713831895,-26.999999999999993,-14.99999999999999,10.999999999999996,35.96373613524523,8.090246200680363,-7.814323847212556,-1.5083101097640237e-16,1.0197265835729797e-15,13.92491143585436,-1.7349793121135283e-15,5.904667919886904e-16,12.532420292268933,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88470505308923,5.896077590242161,-5.521536995832508,4.233698785083831e-17,-1.042808007629508e-16,11.765603529650502,4.142160464983709e-16,1.612506966512547e-16,10.589043176685454,89.99999999999999,26.92167713790031,0,-1.2049787334875207e-15,2.068272501851056e-15,36.282634525874876,-8.648900817958491e-16,-1.5049950603596077e-15,12.51145900893971
254.4,326.7,220,128.3,179.6,142.3,159.1,153.9,140.4,161.6,143.1,125.6,120,104.1,127.3,84.5,122723049,3171533,12:27:23:048,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788838686443156,1.3862610324176396,-2.922570487100263,-1.2201839919312859e-16,-1.8094262709237024e-16,19.2344634054803,-8.974721438591172e-17,-5.895621545986727e-16,17.311017064932283,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596334451539087,4.3070562250492435,-6.4783634015713725,0,0,11.701423310127534,1.0746594185833724e-17,4.8916346152779284e-17,10.53128097911479,-26.999999999999993,-14.99999999999999,10.999999999999996,35.96356988801177,8.088634153248487,-7.815505262029333,2.2396052482799997e-17,7.983111969678068e-16,13.925591727504921,-1.2095941744293197e-15,1.7326614825275687e-15,12.533032554754444,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884677974069263,5.895352582523697,-5.521800620331323,2.57695558530164e-16,-2.263878964272279e-16,11.765090475095185,-1.5540664393038798e-15,1.541464553809237e-15,10.588581427585673,89.99999999999994,26.92856924419991,0,-6.800577148621124e-15,2.228011750341738e-15,36.27976281491671,3.6800137562050384e-15,-2.0030452708302317e-15,12.506826248825757
254.5,326.4,219.7,128,179.6,142.3,158.6,153.9,140.3,161.3,142.9,125.3,119.8,103.9,127,84.3,122723050,3171550,12:27:23:049,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788849247229706,1.390559024823838,-2.923006343732914,-3.709557997520127e-16,1.2722822798205257e-15,19.178868928516227,-9.826688090681567e-16,1.49149634330251e-16,17.260982035664604,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.5963367152936545,4.307281599281057,-6.47833325977092,0,0,11.65807539484277,-6.185999324581539e-18,5.679925607788489e-19,10.492267855358497,-26.999999999999993,-14.99999999999999,10.999999999999996,35.96298182291582,8.082929176249824,-7.81968615008848,5.099480474075706e-16,2.5411732488659446e-15,13.896736788605743,-2.409083149001171e-16,-3.735504037733619e-16,12.507063109745182,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884582170082503,5.892786817941503,-5.52273356781789,-1.5228677204955068e-16,-8.426899527759027e-17,11.7324415276305,-2.7110683549256096e-16,-7.734739381064357e-16,10.55919737486745,89.99999999999999,26.947163804382317,-1.7839725137622496e-15,2.9298333515057735e-16,4.0875643107895895e-15,36.27201508150736,-1.2323937623918055e-16,1.6132896828360722e-15,12.50261657258166
254.4,326.7,219.7,128.4,179.5,142.3,159,153.8,140.2,161.3,143.3,125.3,119.8,103.9,127,84.4,122723051,3171566,12:27:23:049,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788870886730846,1.399324516219572,-2.923895251501642,9.696662553831043e-16,-7.68398551741632e-16,19.154960772418946,5.5982505655325595e-16,-2.859184267403116e-16,17.239464695177052,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596341332452699,4.307741236186738,-6.478271787364035,0,0,11.63052055939178,6.186122101925799e-18,-5.666538033830888e-19,10.4674685034526,-26.999999999999993,-14.99999999999999,10.999999999999996,35.96178382917403,8.071294094314323,-7.82821244822953,-3.7271361738989063e-16,8.462985892491539e-16,13.861638055661656,-1.340056957102014e-15,5.464069796437459e-16,12.475474250095493,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884386915278395,5.887554093788826,-5.524636230215086,-6.995298603059228e-16,-4.2787245783682195e-16,11.703216712743872,-5.496016323605918e-16,-5.482217094987231e-16,10.532895041469486,90,26.958054237106644,0,4.911700426895348e-15,-1.6085930210544363e-15,36.26747740120558,-6.671000068942268e-16,-1.5267385177824874e-15,12.497266862443114
254.6,326.2,219.8,128,179.6,142,158.8,153.8,140.1,161.5,142.8,125.4,119.9,103.9,126.9,84.3,122723052,3171583,12:27:23:052,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788859805590603,1.3948427780340074,-2.9234407579654667,-4.2678057024692845e-16,2.728332034206779e-16,18.967457294669614,1.9658302116799325e-16,-2.9503556699412023e-17,17.07071156520266,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596338971667443,4.307506226853827,-6.478303217811547,0,0,11.488296291580285,0,0,10.33946666242226,-26.999999999999993,-14.99999999999999,10.999999999999996,35.962396132712044,8.077243057405523,-7.823853069341145,1.3525977087040537e-15,8.378133251851259e-16,13.770592435062598,2.665015794046351e-16,-1.2286540078284367e-15,12.393533191556328,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884486725723537,5.89022955211438,-5.523663415896999,2.873963607122581e-16,-4.287910678824769e-16,11.594227505075354,-6.567107484438926e-16,4.591898670559305e-16,10.434804754567825,89.99999999999999,26.98567086242262,0,-1.13350659969903e-15,3.710999527606871e-16,36.25597047399059,-6.667566848674481e-16,-1.5268884844884753e-15,12.471499598725877
254.6,326.1,219.8,128,179.5,142.2,159.1,153.6,140.2,161.5,143.1,125.6,120,103.8,127.1,84.5,122723053,3171600,12:27:23:053,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788860915735659,1.395292422798704,-2.923486356409256,-5.923191977630268e-17,-3.9318131334107287e-16,18.924476344832343,-3.048743565297238e-16,6.48653296941788e-16,17.032028710349127,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.59633920851493,4.3075298049191115,-6.478300064451949,-1.2219362401893543e-18,5.006800454739965e-17,11.453919905912631,-2.302529030368497e-17,-4.7820997893259585e-17,10.30852791532137,-26.999999999999993,-14.99999999999999,10.999999999999996,35.962334680355845,8.076646210681245,-7.82429044380933,-1.5190800252461635e-15,-2.2194984907884063e-15,13.753414561427483,6.904126719728203e-17,-1.2071872406522053e-15,12.378073105284734,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884476709837728,5.8899611282511755,-5.523761017037159,-1.148801722549585e-15,2.162986662745884e-16,11.571015641845264,6.836150106941765e-16,-1.2599477801738692e-15,10.413914077660744,90,26.997508683310304,0,-1.3224430007850212e-15,4.3289302267166853e-16,36.251038048620714,-1.2398511329031955e-16,1.6132325425317719e-15,12.44964612091699
254.9,326.8,220,128.1,179.4,142.2,159.3,154,140.4,161.4,143.3,125.5,119.9,103.9,127.4,84.4,122723054,3171616,12:27:23:054,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.7888663097452095,1.397475110379231,-2.923707702851513,1.4099147599871147e-16,-6.2805547396472e-16,18.91388255288724,-1.671745812633226e-16,2.2601625498696985e-16,17.022494297598513,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.59634035825017,4.307644258715805,-6.478284757256892,-4.956533968895751e-18,-4.944837485050322e-17,11.44802268250389,-1.2234409293857438e-17,2.6623048663178525e-18,10.303220414253513,-26.999999999999993,-14.99999999999999,10.999999999999996,35.96203644200122,8.073748961543032,-7.826413549958029,-9.841663986180822e-16,-4.819880737028436e-16,13.752900162859543,-1.0143169384187461e-15,1.7095892943575475e-15,12.377610146573595,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88442809683559,5.8886581317741,-5.524234795921544,1.0515207728884557e-15,-4.062116888034432e-16,11.567574599807054,-2.8771936652525185e-16,1.2238591948849151e-15,10.410817139826346,89.99999999999999,26.994710600775058,0,-1.628269056738885e-15,-1.1402957010406448e-15,36.25220391634372,-5.676637939518017e-16,-1.537791017582988e-15,12.449991507400721
254.8,326.6,220,128.2,179.8,142.5,159.1,153.9,140.1,161.6,143.2,125.5,120.1,104,127.5,84.4,122723055,3171633,12:27:23:055,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788860042555719,1.3949387687723587,-2.9234504923779836,-2.4177395756511057e-16,-5.643530256245651e-16,18.87138372435596,7.072365406990541e-16,6.983552657754601e-16,16.984245351920354,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596339022229838,4.3075112603293,-6.478302544628331,6.181175920163524e-18,-6.182777990628442e-19,11.42412690680129,-1.2234908731736806e-17,2.6600087024134666e-18,10.281714216121163,-26.999999999999993,-14.99999999999999,10.999999999999996,35.96238301339064,8.077115641844022,-7.823946440709422,-2.994981046985912e-16,8.370231577865539e-16,13.754321977390276,-1.2976526059053475e-15,9.405291483528749e-16,12.378889779651258,-14.999999999999993,-8.999999999999993,6.999999999999996,19.884484587480447,5.8901722486468815,-5.523684251920895,-3.1784672989548217e-16,9.312645933401913e-16,11.55690846645212,-4.949158942251091e-16,4.5046177167769773e-17,10.401217619806909,89.99999999999999,26.995028246466468,0,-1.4529045811461279e-15,1.3122715621476198e-15,36.25207156397231,-9.62891828958591e-16,-1.4946795145718934e-15,12.450211272730648
254.3,326.3,219.9,128.2,179.6,142.5,158.5,153.7,140.2,161.2,142.8,125.3,119.8,103.8,127,84,122723056,3171650,12:27:23:056,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789148475399306,1.5072482285978026,-2.9348403466227593,-1.497199259492365e-15,4.651448185488307e-17,18.811041021157163,-9.245715200631184e-16,5.395484058935369e-16,16.929936919041467,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.59639822125888,4.313400443229408,-6.477514911886398,0,0,11.374062793269621,-6.187250914778217e-18,5.541924849720326e-19,10.236656513942659,-26.999999999999993,-14.99999999999999,10.999999999999996,35.947179787976715,7.928024597752931,-7.933151143450667,9.904262980270209e-16,-9.201306490866426e-16,13.730955388049834,4.217220262766932e-16,-1.6452266256121108e-15,12.357859849244852,-14.999999999999993,-8.999999999999993,6.999999999999996,19.881997335347105,5.823126470297814,-5.548059536241682,-1.9657563447112682e-16,-6.794395465564498e-16,11.52773808224495,-8.728940470876779e-16,2.788495006894051e-16,10.374964274020453,90.00000000000004,27.053148627820164,1.7856547339963635e-15,2.4119346413367336e-15,-4.135392465800738e-15,36.227854738408276,1.2844856758535568e-15,-1.4007082301943828e-16,12.446819108047999
255.1,326.6,220.2,128.3,179.6,142.4,158.8,154.2,140.2,161.7,143,125.5,120,103.9,127.1,84.3,122723057,3171666,12:27:23:056,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789133390178353,1.5015827870790315,-2.9342657588106067,8.053336298196964e-16,-5.362945218248329e-16,18.798963406286088,4.809739346235291e-16,5.313789110565319e-16,16.91906706565749,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596395233012535,4.313103363826113,-6.4775546442577605,0,0,11.365064288762579,-1.2374580132750286e-17,1.1075104105314373e-18,10.228557859886328,-26.999999999999993,-14.99999999999999,10.999999999999996,35.94793970939943,7.935546170353181,-7.927644227837511,7.182022174530021e-16,-6.870729048520753e-16,13.722215449703807,-7.049957762582449e-16,8.760547732193867e-16,12.349993904733426,-14.999999999999993,-8.999999999999993,6.999999999999996,19.8821221107994,5.8265086151002565,-5.546830066614265,1.1125208413893917e-16,-1.121942998628559e-17,11.51726714545582,-6.929018530196281e-16,6.284892149227151e-17,10.365540430910244,90,27.03928642147624,0,-1.133578924715515e-15,3.708789667008066e-16,36.23363065771825,-6.664484684981709e-16,-1.5270230383708643e-15,12.448369266436552
254.5,326.5,219.8,128.1,179.5,142.1,158.7,153.7,140.1,161.5,142.9,125.3,119.9,103.9,126.7,84.3,122723058,3171683,12:27:23:057,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.78911525541473,1.4947435958687718,-2.933572133554791,4.1187836481772284e-16,-6.721869754878468e-16,18.697046054821268,-7.865809502846751e-16,1.1634394595541014e-16,16.82734144933915,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.5963916259469,4.31274473638412,-6.47760260822342,0,0,11.238174203184963,1.2375677723833668e-17,-1.0951774500511837e-18,10.114356782866468,-26.999999999999993,-14.99999999999999,10.999999999999996,35.9488580600726,7.944625943787254,-7.9209961371410715,-1.433668222534433e-15,5.704339645212139e-16,13.53082331426881,1.6102869498027102e-15,-1.771073355162202e-15,12.177740982841936,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88227283505333,5.830591459153454,-5.545345859356524,3.821115210944242e-16,-2.3779300453553114e-16,11.366334407455945,-3.9598621069365697e-16,3.5444283294815106e-17,10.229700966710354,90,27.06943541911936,0,-1.7004293631820357e-15,5.561320440811512e-16,36.22106857536695,-5.928480079022894e-16,6.457039686534012e-17,12.431805146876686
254.5,326,219.5,128,179.3,141.9,158.7,153.7,140,161.3,143,125.2,119.7,103.8,127,84.2,122723059,3171700,12:27:23:058,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789162152432104,1.5123664426042793,-2.9353594373265426,7.6530101138023615e-16,-9.292485921347822e-16,18.374529445435627,1.1435113420001107e-16,7.868731303192334e-16,16.537076500892077,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596400921047885,4.31366882760626,-6.4774790172547965,-6.183354528030158e-18,5.960956076942025e-19,11.012968686895112,-4.293144578940431e-18,-4.9510381880621874e-17,9.911671818205603,-26.999999999999993,-14.99999999999999,10.999999999999996,35.94649390717186,7.921229474849935,-7.938125970646306,-2.571836613372163e-16,-1.9712961214737324e-15,13.433815769325687,-7.069783052523802e-16,8.744556513196698e-16,12.090434192393113,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88188467537581,5.820071005996571,-5.549170238152566,6.889868913448819e-17,-5.061171538509912e-16,11.216176057468108,4.775460422445105e-16,-2.4173543811391176e-16,10.094558451721298,90,27.114037673259872,0,-6.395852321379019e-16,1.882143761187285e-15,36.20248430280839,-6.656540800217843e-16,-1.5273694925031384e-15,12.388763167345546
254.8,326.6,220,128,179.4,142.3,158.7,153.7,140,161.3,142.7,125.4,119.9,103.7,126.8,84.3,122724000,3171716,12:27:23:059,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789104640749249,1.4907258964539838,-2.9331646637473416,4.630414481997815e-16,-7.457025378085029e-17,18.297232103379155,-6.47143509642798e-16,-3.0806614684198365e-16,16.467508893041256,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596389507108701,4.312534059830053,-6.477630784749201,-6.1838350391171456e-18,5.910900115975844e-19,10.920207267474819,-2.8880787550319706e-17,-4.5837663316615803e-17,9.828186540727334,-26.999999999999993,-14.99999999999999,10.999999999999996,35.949398052858854,7.9499598292816565,-7.9170905631946695,-1.517246363140401e-15,1.577719538434564e-15,13.293823469359442,1.5626752684172385e-16,-4.161215932897819e-16,11.964441122423503,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88236142846156,5.832989933892933,-5.544473948165341,2.1194021029612668e-16,-4.200460261381682e-16,11.10452191393484,1.9802912825662055e-16,-1.7314977082689205e-17,9.99406972254136,90,27.126990164455666,0,-1.3807087734682673e-15,-3.85280643789968e-16,36.1970874314768,-1.2487241594228013e-16,1.6131641033502684e-15,12.386617669791724
254.7,326.5,220.1,128.1,179.6,142.4,159,154.1,140.4,161.3,143.1,125.4,120,103.9,127.1,84.4,122724001,3171733,12:27:24:001,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.7891166322625836,1.4952639472160503,-2.9336249070157967,-2.453205649434197e-17,3.950374063754974e-18,18.29551379983929,0,0,16.465962419855362,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.5963919003753535,4.312772022106193,-6.477598958946461,-6.183853643451168e-18,5.908953453862052e-19,10.916599947591148,-8.05623940896548e-18,5.135118485860823e-17,9.824939952832034,-26.999999999999993,-14.99999999999999,10.999999999999996,35.94878815040461,7.943935124251556,-7.921501959167209,-2.1371624428896492e-16,-9.757498678865706e-16,13.287354832300185,2.1333206171406715e-15,-6.231862908985829e-16,11.958619349070172,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88226136361114,5.83028082118864,-5.5454587841749685,1.2573546896048914e-16,-3.117986016598944e-16,11.099644492325524,2.1533718253183845e-16,1.8072240026668505e-16,9.989680043092976,89.99999999999999,27.12744090738554,5.3605183854233786e-15,4.08406365617816e-15,3.3829762310931456e-16,36.19689962192271,-7.177773510596059e-16,1.6774872315928702e-15,12.38446512134202
254.7,326.5,219.9,128.1,179.3,142.2,158.9,153.8,140,161.2,142.9,125.1,119.8,103.8,127,84.4,122724002,3171750,12:27:24:002,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789107165912695,1.4916826644317023,-2.9332616977655706,-3.5978546893800575e-17,-5.98185854376901e-16,18.18693224385168,8.356854640006097e-17,-8.153386702673005e-16,16.368239019466518,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596390011675678,4.312584229979365,-6.4776240748416365,0,0,10.808690302730927,6.189650758868619e-18,-5.267130870412479e-19,9.727821272457833,-26.999999999999993,-14.99999999999999,10.999999999999996,35.94926942597427,7.948689630347608,-7.91802063901037,-6.588448313292271e-16,-7.244225349656354e-16,13.158144491706674,-1.779516964907033e-15,1.8455958721670857e-16,11.842330042536013,-14.999999999999993,-8.999999999999993,6.999999999999996,19.882340327618365,5.832418765399736,-5.54468158426066,2.7564068462658357e-16,1.7319876514247854e-16,10.98412444567593,6.931589446363054e-16,-5.994699593356962e-17,9.885712001108335,89.99999999999999,27.135035892241604,0,-1.6276870235726205e-15,-1.1411263559476741e-15,36.193735044899356,-4.940631129365721e-16,5.359609005789219e-17,12.382500201235013
254.5,326.1,219.7,128.1,179.5,142.3,158.7,154,140,161.2,142.8,125.3,119.6,103.8,126.9,84,122724003,3171766,12:27:24:002,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789335443542054,1.5757746546146667,-2.94179052275839,-3.001743821182793e-16,-7.572878750676642e-16,18.139842352147497,-1.411256926086612e-16,-9.83853210912077e-16,16.32585811693276,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596434382095118,4.316993771722985,-6.4770343258934275,-1.0844833936877675e-17,-4.8894660080780463e-17,10.761468621150454,-4.19533955371213e-18,-4.951876543664791e-17,9.685321759035414,-26.999999999999993,-14.99999999999999,10.999999999999996,35.938047035038444,7.837041591230346,-7.9997442408822526,1.170116329596654e-15,-1.1350042572086868e-15,13.117468648742204,1.4250014449510086e-15,2.523571230784801e-16,11.805721783867988,-14.999999999999993,-8.999999999999993,6.999999999999996,19.88049394833919,5.782217473508461,-5.562929435929855,3.0381556318833827e-16,3.7028221203007804e-16,10.945239906907902,-4.3023572771582534e-16,-3.6196680946247425e-16,9.85071591621712,89.99999999999999,27.172906466503008,0,4.6660701562118825e-15,-2.360594711798067e-15,36.17795563895709,-1.2502620292539857e-16,1.61315219157499e-15,12.375693328512563
254.5,326.6,220.1,128.2,179.6,142.1,158.7,153.9,140.2,161.3,143.1,125.7,119.8,103.7,127.2,84.4,122724004,3171783,12:27:24:003,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789317236073856,1.5692330471017337,-2.9411270318176204,2.2933102476326164e-16,7.686384494123203e-16,18.09536341794082,8.446919276316816e-17,5.903414707599314e-16,16.28582707614675,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596430928829288,4.316650748619639,-6.477080203360808,6.184780128454771e-18,-5.811178499188991e-19,10.735429054144365,6.539394017710947e-20,7.737441001235343e-19,9.661886148729934,-26.999999999999993,-14.99999999999999,10.999999999999996,35.938914162595786,7.845727382974742,-7.993388452224935,-1.756647084519101e-15,6.020981795033431e-16,13.1137488825587,-8.318003352722231e-16,-3.137117843340283e-16,11.802373994302837,-14.999999999999993,-8.999999999999993,6.999999999999996,19.880636997896556,5.786122708377652,-5.561510031916086,1.114988618060827e-16,8.917819465854318e-17,10.930670814597377,-7.751657762573223e-16,2.662308556498517e-16,9.837603733137643,89.99999999999999,27.168796088242622,-3.5750018614177885e-15,-1.3075669478003109e-15,-2.0823343438665667e-15,36.179668296565566,1.7137193616191669e-16,1.581016660235113e-15,12.372675390231244
254.9,326.8,219.6,128.2,179.5,142.2,158.8,154,140.4,161.6,142.9,125.5,119.9,103.7,126.7,84.4,122724005,3171800,12:27:24:004,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789287014469498,1.5583142876807912,-2.940019591909035,7.545599223060526e-16,-1.2023052338615387e-16,18.106647443496765,-1.4086918527741838e-16,-9.83889970665193e-16,16.295982699147086,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.5964251655148916,4.316078200264595,-6.477156778484354,0,0,10.68990185092682,1.6547784118725427e-17,4.847923945228566e-17,9.620911665834145,-26.999999999999993,-14.99999999999999,10.999999999999996,35.94036371365531,7.860224840436801,-7.982779256465713,-1.2120079600139417e-16,-1.8629156485316868e-16,12.965738977028092,7.101882526763949e-16,-8.718507073936943e-16,11.66916507932528,-14.999999999999993,-8.999999999999993,6.999999999999996,19.880875984265725,5.7926410246637206,-5.559140825875638,-1.9578861149731453e-16,-8.799746807998589e-16,10.837199923523889,-1.6662919765472565e-16,-7.83810596775473e-16,9.753479931171505,89.99999999999994,27.177798758924602,-3.575290230458772e-15,-5.769422283362064e-15,-2.2979865813423643e-15,36.17591718378141,1.7391315060652257e-14,-1.8838749785905638e-15,12.36466101984513
254.5,326.7,219.8,128.1,179.6,142.4,158.6,153.8,140.2,161.7,142.8,125.1,119.8,103.9,126.9,84.2,122724006,3171816,12:27:24:005,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789314944637474,1.5684078408874467,-2.9410433345145393,-1.0138174376348712e-15,-4.4279721274083206e-16,18.050705380673108,5.63534718291363e-17,-1.0120391454971158e-15,16.2456348426058,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.5964304932287625,4.316607477177243,-6.477085990677021,0,0,10.619480117999428,-6.468929472601244e-20,-7.738033309799826e-19,9.557532106199487,-26.999999999999993,-14.99999999999999,10.999999999999996,35.93902361877727,7.846823065479646,-7.9925866677195945,-4.719507337912181e-16,-1.7472017833898802e-15,12.859048790877125,1.109111222843565e-15,1.086419938881357e-15,11.573143911789419,-14.999999999999993,-8.999999999999993,6.999999999999996,19.880655050190825,5.786615343005918,-5.561330976523703,-5.81326049739261e-16,1.5453815170130644e-16,10.752167252827736,-3.961525742857166e-16,3.35337764739406e-17,9.676950527544967,89.99999999999994,27.197168011266758,0,1.277638040280934e-14,-2.499082735042074e-15,36.16784666197216,1.0303092102350897e-14,-2.715488287952588e-15,12.363027463568649
254.8,326.6,220.1,128.1,179.7,142.2,158.8,154.1,140.1,161.5,143.1,125.3,119.7,103.7,127,84.3,122724007,3171833,12:27:24:006,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789288995043539,1.5590321934614582,-2.9400924054587563,-1.2767864954458888e-16,-7.848269330638993e-16,18.03267405100357,3.09032357968842e-16,7.591178109548522e-16,16.22940664590321,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.596425544427702,4.316115845179211,-6.477151743692247,0,0,10.59994703426932,6.1259353852774934e-18,-1.2903779090314297e-18,9.539952330842382,-26.999999999999993,-14.99999999999999,10.999999999999996,35.94026832124357,7.859271644321345,-7.983476831242934,-2.3947757789953797e-16,-5.731862887505287e-16,12.829993739088373,1.2666456554632574e-15,6.71123442525675e-16,11.546994365179541,-14.999999999999993,-8.999999999999993,6.999999999999996,19.880860262564862,5.792212447263386,-5.559296602272571,-3.617293314408484e-16,6.329392107048814e-16,10.727465626273604,-8.231130823759308e-17,2.064437662488985e-16,9.654719063646246,90,27.188701997352425,0,-1.3806222853707833e-15,-3.855904520978376e-16,36.17137416776985,6.027678825197096e-15,-6.528681343713339e-16,12.363409967881143
